# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  8 -6.32165 606.94 465.377
  9 -3.79299 588.63 475.338
  10 -1.26433 603.72 477.84
  11 1.26433 568.39 472.702
  12 3.79299 642.86 476.301
  13 6.32165 579.66 469.614
  14 8.85032 644.33 461.195
  15 11.379 593.05 456.712
  16 13.9076 618.27 447.466
  17 16.4363 621.44 442.084
  18 18.965 615.45 439.629
  19 21.4936 639.99 442.101
  20 24.0223 612.99 440.043
11000 20 12312.000000000002
  1 -24.0223 622.41 436.118
  2 -21.4936 617.31 436.561
  3 -18.965 632.27 427.254
  4 -16.4363 639.69 438.412
  5 -13.9076 609.14 438.28
  6 -11.379 613.71 436.774
  7 -8.85032 621.19 447.256
  8 -6.32165 610.95 462.116
  9 -3.79299 583.81 463.52
  10 -1.26433 615.1 473.151
  11 1.26433 561.31 466.066
  12 3.79299 615.38 467.604
  13 6.32165 596.38 470.586
  14 8.85032 628.77 470.136
  15 11.379 601.1 463.956
  16 13.9076 628.65 449.053
  17 16.4363 623.28 449.397
  18 18.965 629.62 440.911
  19 21.4936 648.84 449.256
  20 24.0223 613.09 447.892
12000 20 12312
  1 -24.0223 608.15 429.775
  2 -21.4936 619.46 440.527
  3 -18.965 638.16 436.776
  4 -16.4363 621.63 436.03
  5 -13.9076 621.5 429.203
  6 -11.379 622.29 436.764
  7 -8.85032 619.35 449.885
  8 -6.32165 607.79 466.895
  9 -3.79299 590.3 473.725
  10 -1.26433 613.91 471.19
  11 1.26433 580.13 471.806
  12 3.79299 630.11 475.311
  13 6.32165 618.5 468.419
  14 8.85032 619.3 464.133
  15 11.379 600.32 455.52
  16 13.9076 621.41 445.826
  17 16.4363 617.81 446.57
  18 18.965 617.7 436.883
  19 21.4936 655.67 431.5
  20 24.0223 588.51 438.922
13000 20 12312
  1 -24.0223 616.61 431.784
  2 -21.4936 614.54 438.292
  3 -18.965 628.89 436.016
  4 -16.4363 620.98 431.462
  5 -13.9076 603.46 425.429
  6 -11.379 622.82 434.625
  7 -8.85032 603.29 444.484
  8 -6.32165 610.83 452.684
  9 -3.79299 590.75 462.809
  10 -1.26433 634.57 478.68
  11 1.26433 579.89 474.896
  12 3.79299 615.5 480.275
  13 6.32165 625.78 470.279
  14 8.85032 607.68 469.06
  15 11.379 624.63 452.142
  16 13.9076 626.65 450.758
  17 16.4363 620.94 451.261
  18 18.965 627.38 432.716
  19 21.4936 641.29 430
  20 24.0223 595.52 428.66
14000 20 12312
  1 -24.0223 623.97 434.726
  2 -21.4936 618.76 440.466
  3 -18.965 637.7 444.037
  4 -16.4363 624.62 444.559
  5 -13.9076 618.01 431.711
  6 -11.379 625.09 428.417
  7 -8.85032 620.31 442.607
  8 -6.32165 623.21 457.644
  9 -3.79299 570.93 466.454
  10 -1.26433 605.17 473.93
  11 1.26433 577.02 480.972
  12 3.79299 599.7 471.519
  13 6.32165 617.42 475.744
  14 8.85032 629.87 468.819
  15 11.379 615.82 450.065
  16 13.9076 622.27 450.96
  17 16.4363 612.51 450.311
  18 18.965 639.15 437.887
  19 21.4936 619.99 431.011
  20 24.0223 610.48 430.435
15000 20 12312.000000000002
  1 -24.0223 611.7 431.781
  2 -21.4936 631.11 435.028
  3 -18.965 622.13 438.489
  4 -16.4363 645.29 433.203
  5 -13.9076 607.48 443.439
  6 -11.379 622.57 439.761
  7 -8.85032 622.49 448.34
  8 -6.32165 604.9 454.738
  9 -3.79299 576.34 463.849
  10 -1.26433 608.3 473.924
  11 1.26433 593.53 481.827
  12 3.79299 610.41 479.355
  13 6.32165 618.58 469.656
  14 8.85032 651.12 460.335
  15 11.379 610.09 451.533
  16 13.9076 626.32 451.169
  17 16.4363 614.77 456.304
  18 18.965 613.19 450.535
  19 21.4936 627.08 428.882
  20 24.0223 594.6 428.419
16000 20 12312
  1 -24.0223 620.93 435.113
  2 -21.4936 624.24 428.266
  3 -18.965 611.91 437.845
  4 -16.4363 643.42 436.443
  5 -13.9076 585.46 440.545
  6 -11.379 627.26 443.398
  7 -8.85032 629.99 447.851
  8 -6.32165 599.15 460.828
  9 -3.79299 572.32 467.216
  10 -1.26433 616.77 475.155
  11 1.26433 580.13 479.401
  12 3.79299 624.64 479.574
  13 6.32165 614.62 461.724
  14 8.85032 666.62 455.62
  15 11.379 605.84 454.69
  16 13.9076 610.44 452.731
  17 16.4363 609.48 459.853
  18 18.965 615.51 444.362
  19 21.4936 632.17 433.219
  20 24.0223 621.1 427.787
17000 20 12311.999999999998
  1 -24.0223 611.45 426.467
  2 -21.4936 617.79 429.378
  3 -18.965 618.63 429.2
  4 -16.4363 632.92 434.305
  5 -13.9076 604.55 439.243
  6 -11.379 612.07 446.948
  7 -8.85032 631.98 454.675
  8 -6.32165 570.6 466.046
  9 -3.79299 595.51 476.838
  10 -1.26433 617.34 472.937
  11 1.26433 597.9 478.083
  12 3.79299 593.39 481.144
  13 6.32165 636.31 458.203
  14 8.85032 649.04 450.954
  15 11.379 612.76 454.921
  16 13.9076 616.48 451.718
  17 16.4363 619.33 460.3
  18 18.965 619.49 443.754
  19 21.4936 638.16 430.833
  20 24.0223 616.3 429.003
18000 20 12312.000000000002
  1 -24.0223 621.42 423.735
  2 -21.4936 620.04 435.706
  3 -18.965 612.93 435.113
  4 -16.4363 650.06 442.323
  5 -13.9076 611.61 440.446
  6 -11.379 609.62 452.395
