# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12312
  19 20.4781 576.82 441.075
  20 22.8873 661.96 436.032
  21 25.2965 0 0
10000 21 12312
  1 -22.8873 588.01 433.932
  2 -20.4781 597.46 432.198
  3 -18.0689 630.75 441.058
  4 -15.6597 622.86 443.104
  5 -13.2505 603.31 449.156
  6 -10.8414 636.92 447.765
  7 -8.43217 619.08 468.699
  8 -6.02298 608 458.144
  9 -3.61379 567.15 464.284
  10 -1.2046 642.1 460.908
  11 1.2046 611.69 462.133
  12 3.61379 591.21 452.942
  13 6.02298 614.51 459.441
  14 8.43217 642.24 459.032
  15 10.8414 604.43 453.298
  16 13.2505 612.24 456.457
  17 15.6597 662.55 448.932
  18 18.0689 608.07 449.378
  19 20.4781 579.28 443.421
  20 22.8873 670.14 433.969
  21 25.2965 0 0
11000 21 12311.999999999998
  1 -22.8873 600.5 429.803
  2 -20.4781 608.2 430.604
  3 -18.0689 602.57 447.011
  4 -15.6597 643.12 443.23
  5 -13.2505 591.06 445.827
  6 -10.8414 640.1 446.426
  7 -8.43217 616.86 463.274
  8 -6.02298 605 467.388
  9 -3.61379 575.47 456.405
  10 -1.2046 619.08 463.9
  11 1.2046 634.27 456.198
  12 3.61379 604.24 459.844
  13 6.02298 596.15 460.361
  14 8.43217 643.49 464.426
  15 10.8414 611.09 452.287
  16 13.2505 626.52 456.777
  17 15.6597 637.97 445.017
  18 18.0689 627.64 444.705
  19 20.4781 571.09 438.048
  20 22.8873 657.58 441.944
  21 25.2965 0 0
12000 21 12312
  1 -22.8873 590.76 432.337
  2 -20.4781 610.55 432.755
  3 -18.0689 610.1 442.702
  4 -15.6597 596.78 433.857
  5 -13.2505 610.59 441.233
  6 -10.8414 615.01 444.617
  7 -8.43217 583.62 457.718
  8 -6.02298 622.47 476.995
  9 -3.61379 616.36 469.449
  10 -1.2046 615.08 471.498
  11 1.2046 626.06 458.87
  12 3.61379 606.03 459.902
  13 6.02298 623.96 463.087
  14 8.43217 615.98 460.466
  15 10.8414 649.69 452.516
  16 13.2505 608.89 445.991
  17 15.6597 606.7 433.854
  18 18.0689 647.67 448.955
  19 20.4781 602.44 439.336
  20 22.8873 653.26 426.652
  21 25.2965 0 0
13000 21 12312.000000000002
  1 -22.8873 585.44 430.159
  2 -20.4781 611.65 425.611
  3 -18.0689 632.32 440.675
  4 -15.6597 595.18 431.235
  5 -13.2505 606.09 441.574
  6 -10.8414 627.68 448.547
  7 -8.43217 595.88 462.545
  8 -6.02298 606.78 473.993
  9 -3.61379 635.97 469.13
  10 -1.2046 595.76 459.543
  11 1.2046 642.57 468.55
  12 3.61379 589.42 459.454
  13 6.02298 622.65 463.838
  14 8.43217 605.35 457.2
  15 10.8414 641.25 454.341
  16 13.2505 626.35 444.822
  17 15.6597 609.26 450.408
  18 18.0689 618.61 444.866
  19 20.4781 612.68 447.655
  20 22.8873 651.11 423.967
  21 25.2965 0 0
14000 21 12312
  1 -22.8873 600.07 436.691
  2 -20.4781 592.86 429.078
  3 -18.0689 631.69 437.836
  4 -15.6597 603.72 433.849
  5 -13.2505 611.48 448.334
  6 -10.8414 609.6 446.303
  7 -8.43217 592.27 451.292
  8 -6.02298 596.48 468.668
  9 -3.61379 617.37 469.117
  10 -1.2046 646.43 472.176
  11 1.2046 635.71 473.784
  12 3.61379 586.76 460.581
  13 6.02298 622.61 464.111
  14 8.43217 621.57 464.487
  15 10.8414 624.81 448.887
  16 13.2505 611.65 455.45
  17 15.6597 622.78 444.75
  18 18.0689 591.92 446.766
  19 20.4781 610 436.561
  20 22.8873 682.22 435.521
  21 25.2965 0 0
15000 21 12312.000000000002
  1 -22.8873 595.36 440.004
  2 -20.4781 595.04 430.969
  3 -18.0689 614.59 433.523
  4 -15.6597 616.08 434.638
  5 -13.2505 622.97 445.33
  6 -10.8414 609.85 452.949
  7 -8.43217 583.74 457.669
