# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  12 46.0827 570.15 481.208
  13 48.5354 569.49 465.153
  14 50.988 555.39 444.921
  15 53.4406 615.31 447.022
  16 55.8933 461.81 438.095
  17 58.3459 736.19 435.33
  18 60.7985 370.84 437.175
  19 63.2511 976.39 444.367
  20 65.7038 346.57 410.828
11000 20 12311.999999999998
  1 19.1038 986.67 424.298
  2 21.5565 975.58 444.961
  3 24.0091 336.67 457.233
  4 26.4617 961.37 432.2
  5 28.9143 348.75 436.522
  6 31.367 776.53 448.774
  7 33.8196 413.91 451.49
  8 36.2722 634.73 464.313
  9 38.7249 504.69 474.177
  10 41.1775 619.73 478.462
  11 43.6301 521.84 488.668
  12 46.0827 562.45 485.496
  13 48.5354 587.87 464.711
  14 50.988 552.89 446.581
  15 53.4406 614.86 444.397
  16 55.8933 454.99 442.201
  17 58.3459 739.09 429.603
  18 60.7985 383.48 434.376
  19 63.2511 961.65 442.01
  20 65.7038 374.25 418.679
12000 20 12311.999999999996
  1 19.1038 993.35 412.057
  2 21.5565 1025.44 442.863
  3 24.0091 389.34 463.424
  4 26.4617 963.69 432.107
  5 28.9143 359.39 441.75
  6 31.367 774.28 450.832
  7 33.8196 422.48 465.269
  8 36.2722 637.31 467.893
  9 38.7249 518.58 477.011
  10 41.1775 594.58 481.117
  11 43.6301 517.53 496.444
  12 46.0827 574.03 486.015
  13 48.5354 586.59 453.482
  14 50.988 558.82 457.56
  15 53.4406 614.93 445.122
  16 55.8933 440.55 441.772
  17 58.3459 726.15 434.176
  18 60.7985 353.42 435.61
  19 63.2511 997.54 441.47
  20 65.7038 264 408.687
13000 20 12312
  1 19.1038 954.44 414.502
  2 21.5565 975.7 436.321
  3 24.0091 459 464.36
  4 26.4617 924.01 435.045
  5 28.9143 375.69 442.121
  6 31.367 772.95 452.988
  7 33.8196 444.18 456.942
  8 36.2722 642.11 461.931
  9 38.7249 507.38 457.096
  10 41.1775 618.66 488.824
  11 43.6301 530.5 494.506
  12 46.0827 569.41 484.767
  13 48.5354 570.55 457.772
  14 50.988 564.1 450.705
  15 53.4406 599.55 455.358
  16 55.8933 440.77 450.193
  17 58.3459 731.28 433.364
  18 60.7985 348.88 435.817
  19 63.2511 992.4 436.024
  20 65.7038 290.44 411.008
14000 20 12312
  1 19.1038 932.43 413.536
  2 21.5565 946.34 439.976
  3 24.0091 457.05 456.14
  4 26.4617 928.71 433.296
  5 28.9143 379.28 435.727
  6 31.367 767.68 458.386
  7 33.8196 442.87 447.602
  8 36.2722 628.07 454.71
  9 38.7249 515.38 466.184
  10 41.1775 617.09 486.078
  11 43.6301 523.2 493.093
  12 46.0827 576.38 483.426
  13 48.5354 566.32 474.28
  14 50.988 572.85 461.179
  15 53.4406 591.32 447.531
  16 55.8933 462 442.305
  17 58.3459 726.46 433.975
  18 60.7985 358.23 429.34
  19 63.2511 973.33 434.891
  20 65.7038 347.01 414.538
15000 20 12312
  1 19.1038 1036.42 414.792
  2 21.5565 1003.76 438.942
  3 24.0091 373.33 446.986
  4 26.4617 963.17 433.382
  5 28.9143 363.78 436.49
  6 31.367 761.17 460.012
  7 33.8196 446.07 448.535
  8 36.2722 619.58 452.103
  9 38.7249 506.88 473.337
  10 41.1775 602.13 490.907
  11 43.6301 522.79 491.423
  12 46.0827 568.54 482.601
  13 48.5354 567.6 480.812
  14 50.988 568.29 461.449
  15 53.4406 613.03 450.92
  16 55.8933 445.31 443.839
  17 58.3459 726.16 443.544
  18 60.7985 358.37 432.115
  19 63.2511 1001.61 430.646
  20 65.7038 264.01 412.393
16000 20 12312
  1 19.1038 1034.11 408.28
  2 21.5565 982.68 437.381
  3 24.0091 346.34 453.744
  4 26.4617 978.7 426.433
  5 28.9143 361.38 440.479
  6 31.367 760.53 453.829
  7 33.8196 424.61 462.955
  8 36.2722 613.69 462.12
  9 38.7249 507.62 467.312
  10 41.1775 597.68 492.063
  11 43.6301 529.95 502.609
  12 46.0827 562.05 483.712
  13 48.5354 573.48 476.732
  14 50.988 560.28 461.971
  15 53.4406 609.53 450.944
  16 55.8933 485.16 433.577
  17 58.3459 718.72 442.503
  18 60.7985 366.03 432.492
  19 63.2511 989.57 436.163
  20 65.7038 309.89 403.623
17000 20 12312.000000000002
  1 19.1038 971.41 404.704
  2 21.5565 948.63 434.513
  3 24.0091 392.92 449.741
  4 26.4617 958.68 429.607
  5 28.9143 365.32 445.197
  6 31.367 759.75 455.956
  7 33.8196 446.79 449.936
  8 36.2722 625.8 465.921
  9 38.7249 519.09 479.695
  10 41.1775 547.57 500.478
  11 43.6301 550.51 515.526
  12 46.0827 555.51 484.328
  13 48.5354 571.49 465.608
  14 50.988 563.9 459.129
  15 53.4406 625.44 464.031
  16 55.8933 475.47 444.671
  17 58.3459 722.12 450.365
  18 60.7985 374.09 435.69
  19 63.2511 967.64 434.695
  20 65.7038 369.87 404.558
18000 20 12312
  1 19.1038 890.08 402.457
  2 21.5565 963.51 426.886
  3 24.0091 387.93 433.528
  4 26.4617 953.6 431.312
  5 28.9143 368.66 437.642
  6 31.367 764.38 451.489
  7 33.8196 437.31 452.552
  8 36.2722 615.88 474.872
  9 38.7249 528.82 479.437
  10 41.1775 563.5 499.17
  11 43.6301 545.89 506.769
  12 46.0827 559.96 489.839
  13 48.5354 582.51 467.597
  14 50.988 542 463.768
  15 53.4406 640.49 452.044
  16 55.8933 475.04 448.595
  17 58.3459 716.63 441.691
  18 60.7985 385.79 440.304
  19 63.2511 938.56 434.71
  20 65.7038 451.46 401.699
19000 20 12312.000000000002
  1 19.1038 995.44 398.811
  2 21.5565 1000.94 427.771
  3 24.0091 322.97 435.458
  4 26.4617 976.51 436.521
  5 28.9143 360.56 434.596
  6 31.367 750.85 455.044
  7 33.8196 429.24 457.65
  8 36.2722 624.84 468.688
  9 38.7249 527.38 482.365
  10 41.1775 560.39 491.182
  11 43.6301 546.69 504.802
  12 46.0827 531.02 489.213
  13 48.5354 570.17 480.772
  14 50.988 538.86 475.036
  15 53.4406 634.5 453.687
  16 55.8933 472.37 443.59
  17 58.3459 737.17 442.374
  18 60.7985 392.31 440.51
  19 63.2511 956.91 435.206
  20 65.7038 382.88 405.052
20000 20 12311.999999999998
  1 19.1038 953.14 392.603
  2 21.5565 986.95 418.335
  3 24.0091 414.88 438.738
