# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  10 41.1775 593.53 532.104
  11 43.6301 558.24 547.334
  12 46.0827 555.47 533.077
  13 48.5354 584.73 508.636
  14 50.988 519.49 485.346
  15 53.4406 628.59 470.311
  16 55.8933 444.4 454.231
  17 58.3459 756.53 445.59
  18 60.7985 362.3 442.65
  19 63.2511 1010.73 419.734
  20 65.7038 372.5 360.591
11000 20 12312.000000000002
  1 19.1038 1025.49 357.981
  2 21.5565 1038.17 369.255
  3 24.0091 257.3 382.573
  4 26.4617 1007.19 427.422
  5 28.9143 331.61 456.315
  6 31.367 703.1 473.468
  7 33.8196 440.54 470.304
  8 36.2722 610.62 470.687
  9 38.7249 518.34 502.589
  10 41.1775 589.93 521.59
  11 43.6301 565.24 551.42
  12 46.0827 546.11 534.509
  13 48.5354 602.2 506.77
  14 50.988 506.02 483.454
  15 53.4406 630.41 465.922
  16 55.8933 436.01 450.636
  17 58.3459 774.44 438.723
  18 60.7985 350.11 432.074
  19 63.2511 1012.62 422.471
  20 65.7038 366.55 359.833
12000 20 12311.999999999998
  1 19.1038 1068.43 360.988
  2 21.5565 1035.98 375.531
  3 24.0091 217.31 394.756
  4 26.4617 1007.43 435.112
  5 28.9143 337.39 446.021
  6 31.367 706.23 458.005
  7 33.8196 428.64 479.732
  8 36.2722 622.28 498.204
  9 38.7249 495.54 490.77
  10 41.1775 594.08 522.246
  11 43.6301 551.53 544.564
  12 46.0827 538.67 528.584
  13 48.5354 588.12 515.266
  14 50.988 506.35 493.434
  15 53.4406 627.64 469.264
  16 55.8933 452.83 453.177
  17 58.3459 774.93 450.553
  18 60.7985 370.31 433.055
  19 63.2511 1009.06 424.547
  20 65.7038 379.25 363.151
13000 20 12312
  1 19.1038 1042.83 363.009
  2 21.5565 1005.53 372.94
  3 24.0091 311.47 395.04
  4 26.4617 995.29 438.026
  5 28.9143 350.33 455.104
  6 31.367 717.39 463.124
  7 33.8196 433.23 483.025
  8 36.2722 626.36 497.856
  9 38.7249 517.98 497.853
  10 41.1775 578.97 512.224
  11 43.6301 554.98 538.067
  12 46.0827 540.7 523.27
  13 48.5354 586.15 509.907
  14 50.988 513.1 484.59
  15 53.4406 645.38 463.915
  16 55.8933 440.96 445.468
  17 58.3459 759.36 450.342
  18 60.7985 338.91 429.55
  19 63.2511 1019.45 416.194
  20 65.7038 333.63 370.103
14000 20 12312.000000000002
  1 19.1038 1115.47 362.52
  2 21.5565 1028.32 382.632
  3 24.0091 196.4 386.907
  4 26.4617 1020.84 433.697
  5 28.9143 335.57 458.169
  6 31.367 731.45 456.262
  7 33.8196 433.8 479.658
  8 36.2722 614.51 492.982
  9 38.7249 500.77 512.751
  10 41.1775 578.99 516.272
  11 43.6301 554.36 529.775
  12 46.0827 545.21 523.4
  13 48.5354 581.62 498.007
  14 50.988 517.09 491.055
  15 53.4406 625.49 480.263
  16 55.8933 458.09 448.744
  17 58.3459 749.51 447.711
  18 60.7985 361.3 435.332
  19 63.2511 1029.01 419.218
  20 65.7038 334.2 361.52
15000 20 12312
  1 19.1038 983.32 362.271
  2 21.5565 957.88 378.524
  3 24.0091 386.62 392.39
  4 26.4617 974.25 433.836
  5 28.9143 350.85 446.523
  6 31.367 725.82 461.289
  7 33.8196 467.97 477.803
  8 36.2722 616.3 491.878
  9 38.7249 500.34 515.776
  10 41.1775 577.95 524.366
  11 43.6301 559.51 523.37
  12 46.0827 566.02 520.524
  13 48.5354 583.2 505.495
  14 50.988 504.09 489.956
  15 53.4406 631.05 473.518
  16 55.8933 461.03 451.53
  17 58.3459 742.61 441.639
  18 60.7985 356.31 423.878
  19 63.2511 1006.47 420.298
  20 65.7038 360.41 361.459
16000 20 12312
  1 19.1038 992.87 365.076
  2 21.5565 983.99 380.704
  3 24.0091 339.97 388.959
  4 26.4617 989 434.14
  5 28.9143 354.74 429.541
  6 31.367 726.14 458.724
  7 33.8196 446.06 484.615
  8 36.2722 611.74 492.583
  9 38.7249 519.05 517.417
  10 41.1775 566.9 526.918
  11 43.6301 555.41 524.683
  12 46.0827 539.11 518.632
  13 48.5354 611.76 508.071
  14 50.988 486.03 482.38
  15 53.4406 637.91 478.22
  16 55.8933 457.37 455.954
  17 58.3459 743.4 433.47
  18 60.7985 355.31 423.348
  19 63.2511 1003.01 418.374
  20 65.7038 392.23 366.144
17000 20 12312.000000000002
  1 19.1038 1020.95 368.768
  2 21.5565 944.95 374.985
  3 24.0091 341.3 385.476
  4 26.4617 990.17 427.385
  5 28.9143 358.51 443.527
  6 31.367 738.31 466.487
  7 33.8196 416.98 480.785
  8 36.2722 624.67 485.69
  9 38.7249 494.06 513.257
  10 41.1775 588.98 524.329
  11 43.6301 545.28 528.206
  12 46.0827 538.77 525.202
  13 48.5354 607.36 509.043
  14 50.988 498.76 484.028
  15 53.4406 631.6 471.589
  16 55.8933 455.23 448.531
  17 58.3459 755.27 434.777
  18 60.7985 368.16 426.918
  19 63.2511 1004.93 427.272
  20 65.7038 387.76 360.56
18000 20 12312
  1 19.1038 1046.89 367.421
  2 21.5565 1002.94 377.502
  3 24.0091 279.44 398.83
  4 26.4617 1006.01 430.802
  5 28.9143 341.96 446.126
  6 31.367 712.72 469.798
  7 33.8196 434.61 466.349
  8 36.2722 615.59 487.079
  9 38.7249 515.22 510.667
  10 41.1775 575.85 515.335
  11 43.6301 555.64 534.275
  12 46.0827 541.7 520.718
  13 48.5354 587.29 511.2
  14 50.988 483.72 477.381
  15 53.4406 657.4 467.126
  16 55.8933 448.09 452.436
  17 58.3459 771.39 439.024
  18 60.7985 352.34 426.427
  19 63.2511 1018.66 420.961
  20 65.7038 364.54 370.261
19000 20 12311.999999999998
  1 19.1038 1018.04 371.332
  2 21.5565 921.46 379.4
  3 24.0091 293.15 383.86
  4 26.4617 999.2 436.089
  5 28.9143 337.12 446.499
  6 31.367 703.68 470.32
  7 33.8196 453.73 465.478
  8 36.2722 596.01 490.211
  9 38.7249 531.67 514.857
  10 41.1775 568.43 518.896
  11 43.6301 559.09 527.952
  12 46.0827 528.39 526.365
  13 48.5354 604.06 508.164
  14 50.988 489.05 485.314
  15 53.4406 654.48 476.792
  16 55.8933 445.13 450.031
  17 58.3459 785.04 448.714
  18 60.7985 368.48 433.458
  19 63.2511 1001.32 419.245
  20 65.7038 454.47 373.565
20000 20 12312
  1 19.1038 983.15 368.36
  2 21.5565 1013.16 375.964
  3 24.0091 276.37 390.292
  4 26.4617 1013.51 426.844
  5 28.9143 342.87 459.366
  6 31.367 729.7 471.631
  7 33.8196 435.37 469.93
  8 36.2722 603.62 488.538
  9 38.7249 503.16 492.985
  10 41.1775 543.21 518.676
  11 43.6301 563.33 539.481
  12 46.0827 547.05 517.14
  13 48.5354 594.1 515.272
  14 50.988 492.57 487.252
  15 53.4406 666.07 469.401
  16 55.8933 444.79 454.411
  17 58.3459 766.39 443.264
