# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12311.999999999998
  20 22.8873 603.65 438.046
  21 25.2965 0 0
10000 21 12311.999999999998
  1 -22.8873 637.78 449.338
  2 -20.4781 600.87 443.011
  3 -18.0689 624.2 443.62
  4 -15.6597 627.9 443.493
  5 -13.2505 660.41 449.695
  6 -10.8414 625.91 453.234
  7 -8.43217 589.68 458.967
  8 -6.02298 643.3 456.339
  9 -3.61379 585.63 467.686
  10 -1.2046 588.91 452.803
  11 1.2046 615.03 463.077
  12 3.61379 612.46 463.82
  13 6.02298 594.12 457.916
  14 8.43217 606.58 456.892
  15 10.8414 634.06 462.309
  16 13.2505 604.32 444.848
  17 15.6597 608.41 441.392
  18 18.0689 639.71 444.019
  19 20.4781 606.73 442.139
  20 22.8873 605.99 445.386
  21 25.2965 0 0
11000 21 12311.999999999998
  1 -22.8873 620 441.379
  2 -20.4781 624.3 439.119
  3 -18.0689 628.88 444.788
  4 -15.6597 613.97 447.352
  5 -13.2505 662.15 459.369
  6 -10.8414 607.13 454.022
  7 -8.43217 596.55 458.161
  8 -6.02298 621.57 460.754
  9 -3.61379 608.72 457.725
  10 -1.2046 579.3 459.254
  11 1.2046 615.36 462.087
  12 3.61379 608.87 455.266
  13 6.02298 624.66 450.561
  14 8.43217 597.21 453.463
  15 10.8414 653.15 465.697
  16 13.2505 570.55 446.613
  17 15.6597 616.2 443.302
  18 18.0689 641.94 438.586
  19 20.4781 620.75 443.573
  20 22.8873 600.74 439.287
  21 25.2965 0 0
12000 21 12312.000000000002
  1 -22.8873 642.62 435.488
  2 -20.4781 614.74 437.46
  3 -18.0689 628.57 433.861
  4 -15.6597 605.2 442.682
  5 -13.2505 646.04 455.267
  6 -10.8414 603.06 459.655
  7 -8.43217 602.17 448.873
  8 -6.02298 618.9 461.693
  9 -3.61379 618.18 456.805
  10 -1.2046 603.38 459.953
  11 1.2046 601.08 462.657
  12 3.61379 618.22 458.384
  13 6.02298 597.26 457.622
  14 8.43217 614.63 459.98
  15 10.8414 639.95 465.906
  16 13.2505 586.35 453.38
  17 15.6597 625.2 443.439
  18 18.0689 629.18 444.544
  19 20.4781 619.02 436.942
  20 22.8873 598.25 444.051
  21 25.2965 0 0
13000 21 12311.999999999998
  1 -22.8873 601.34 437.007
  2 -20.4781 626.34 444.039
  3 -18.0689 633.72 441.544
