# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  7 -8.85032 608.88 448.957
  8 -6.32165 613.41 448.418
  9 -3.79299 637.93 451.523
  10 -1.26433 591.47 471.045
  11 1.26433 624.95 468.057
  12 3.79299 579.82 466.576
  13 6.32165 629.59 466.651
  14 8.85032 632.57 446.708
  15 11.379 592.47 442.683
  16 13.9076 606.9 437.052
  17 16.4363 594.69 448.606
  18 18.965 658.94 437.303
  19 21.4936 592.85 445.981
  20 24.0223 650.45 445.913
11000 20 12312.000000000002
  1 -24.0223 628.61 436.896
  2 -21.4936 638.85 449.127
  3 -18.965 634.19 447.095
  4 -16.4363 616.68 443.526
  5 -13.9076 605.12 443.278
  6 -11.379 617.84 448.069
  7 -8.85032 631.51 452.922
  8 -6.32165 620.71 443.805
  9 -3.79299 640.9 455.87
  10 -1.26433 576.05 472.824
  11 1.26433 622.79 467.93
  12 3.79299 584.76 470.542
  13 6.32165 598.27 455.607
  14 8.85032 629.09 443.172
  15 11.379 581.84 445.014
  16 13.9076 624.51 440.154
  17 16.4363 590.65 443.471
  18 18.965 643.77 437.881
  19 21.4936 594.5 445.596
  20 24.0223 631.36 439.61
12000 20 12312
  1 -24.0223 626.76 445.888
  2 -21.4936 663.07 444.571
  3 -18.965 625.96 441.148
  4 -16.4363 609.33 436.213
  5 -13.9076 613.56 447.005
  6 -11.379 602.69 452.15
  7 -8.85032 614.59 447.722
  8 -6.32165 632.3 445.898
  9 -3.79299 628.66 456.92
  10 -1.26433 582.18 461.694
  11 1.26433 615.58 468.745
  12 3.79299 590.39 463.48
  13 6.32165 617.77 457.115
  14 8.85032 616.75 448.159
  15 11.379 589.55 444.521
  16 13.9076 634.32 442.188
  17 16.4363 577.83 447.645
  18 18.965 652.49 438.965
  19 21.4936 598.7 443.441
  20 24.0223 619.52 446.424
13000 20 12312
  1 -24.0223 640.07 442.11
  2 -21.4936 653.08 448.556
  3 -18.965 622.44 442.596
  4 -16.4363 624.54 443.791
  5 -13.9076 605.07 441.932
  6 -11.379 606.33 445.515
  7 -8.85032 610.82 452.121
  8 -6.32165 645.22 444.932
  9 -3.79299 616.86 459.149
  10 -1.26433 590.25 466.269
  11 1.26433 611 466.165
  12 3.79299 603.62 465.153
  13 6.32165 613.14 454.094
  14 8.85032 607.16 452.266
  15 11.379 594.12 447.429
  16 13.9076 620.78 444.814
  17 16.4363 579.54 434.803
  18 18.965 650.47 445.94
  19 21.4936 580 443.139
  20 24.0223 637.49 443.038
14000 20 12312
  1 -24.0223 647.59 451.065
  2 -21.4936 659.25 443.684
  3 -18.965 614.75 433.806
  4 -16.4363 613.03 443.69
  5 -13.9076 603.8 441.195
  6 -11.379 618.79 452.25
  7 -8.85032 612.02 452.237
  8 -6.32165 637.35 455.216
  9 -3.79299 594.32 457.865
  10 -1.26433 597.63 462.637
  11 1.26433 616.02 466.822
  12 3.79299 618.76 470.361
  13 6.32165 607.92 458.335
  14 8.85032 619.15 442.105
  15 11.379 612.77 445.039
  16 13.9076 597.94 447.36
  17 16.4363 602.43 445.805
  18 18.965 620.5 444.405
  19 21.4936 598.25 432.752
  20 24.0223 619.73 438.363
15000 20 12312
  1 -24.0223 634.16 436.697
  2 -21.4936 652.57 437.414
  3 -18.965 623.69 440.462
  4 -16.4363 602.04 441.211
  5 -13.9076 610.98 446.361
  6 -11.379 604.78 444.887
  7 -8.85032 625.09 453.761
  8 -6.32165 631.21 462.103
  9 -3.79299 602.02 452.435
  10 -1.26433 604.11 458.367
  11 1.26433 614.9 473.483
  12 3.79299 618.35 463.26
  13 6.32165 616.41 454.555
  14 8.85032 605.28 449.367
  15 11.379 611.86 453.761
  16 13.9076 591.05 449.097
  17 16.4363 619.77 446.346
  18 18.965 603.46 446.101
  19 21.4936 621.09 446.129
  20 24.0223 619.18 434.353
16000 20 12312
  1 -24.0223 631.59 430.305
  2 -21.4936 638.99 438.618
  3 -18.965 622.7 446.096
  4 -16.4363 600.38 440.356
  5 -13.9076 612.86 439.085
  6 -11.379 578.09 448.563
  7 -8.85032 621.69 447.648
  8 -6.32165 626.4 457.614
  9 -3.79299 614.75 460.097
  10 -1.26433 600.47 460.622
  11 1.26433 610.74 472.408
  12 3.79299 618.71 466.38
  13 6.32165 615.81 458.563
  14 8.85032 608.81 450.833
  15 11.379 625.93 454.459
  16 13.9076 600.36 456.209
  17 16.4363 622.9 447.404
  18 18.965 622.82 446.37
  19 21.4936 629.95 442.728
  20 24.0223 608.05 435.507
17000 20 12311.999999999998
  1 -24.0223 646.61 446.337
  2 -21.4936 636.21 441.716
  3 -18.965 621.26 439.719
  4 -16.4363 605.89 430.28
  5 -13.9076 594.06 441.199
  6 -11.379 596.94 440.742
  7 -8.85032 641.9 454.128
  8 -6.32165 612.32 463.114
  9 -3.79299 617.04 458.089
  10 -1.26433 603.19 456.921
  11 1.26433 610.46 470.722
  12 3.79299 617.26 465.04
  13 6.32165 607.2 461.02
  14 8.85032 610.72 449.984
  15 11.379 617.04 453.639
  16 13.9076 593.74 454.52
  17 16.4363 622.9 452.686
  18 18.965 613.74 437.93
  19 21.4936 629.12 436.514
  20 24.0223 614.4 442.702
18000 20 12312.000000000002
  1 -24.0223 646.06 433.285
  2 -21.4936 642 446.392
  3 -18.965 643.06 433.735
  4 -16.4363 580.68 429.827
  5 -13.9076 615.21 431.587
